I_21,I_23,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_lower_v2,dif_myu_upper_p2,dif_myu_upper_v2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_lower_v2,myu_upper_p2,myu_upper_v2,original_generated_power2,original_lambda2,original_voltage2,line21,line23,voltage2,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,350,0,1523791744.0180702
0,0,0,0,-1000,-1000,-50000,-25,50000,-25,0,-50000,1,0.0,0,0,0,0,0,0.0,0,-50000,0.0,350.0,0,0,350.0,0.0005340576171875,1523791754.0309572
0.0,0.0,0.0,50000.0,-1000.0,-1000.0,0,-25.0,0,-25.0,0.0,-50000,2,0.0,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,346.42857142857144,0,0,346.42857142857144,0.0048236846923828125,1523791754.052238
-35.71428571428555,-35.71428571428555,0.0,25255.102040816437,-964.2857142857144,-964.2857142857144,0,-21.428571428571445,0,-28.571428571428555,0.0,-50000,3,0.0,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,344.6246355685131,0,0,344.6246355685131,0.00058746337890625,1523791754.066703
-35.89650145772623,-35.89650145772623,0.0,25258.362533892996,-964.1034985422738,-964.1034985422738,0,-19.6246355685131,0,-30.3753644314869,-4352.6785714285525,-50000,4,0.062181122448979324,-12.499999999999945,0.0,0.0,0,0,0.0,0,-50000,0.062181122448979324,343.13137242833704,0,0,343.13137242833704,0.000713348388671875,1523791754.0786445
-29.831348268244824,-29.831348268244824,-0.062181122448979324,29527.857054658914,-970.1686517317552,-970.1686517317552,0,-18.131372428337045,0,-31.868627571662955,-7794.861055449979,-50000,5,0.17353628038397903,-22.499609537692685,0.0,0.0,0,0,0.031090561224489662,0,-50000,0.17353628038397903,341.5790155712507,0,0,341.5790155712507,0.00035452842712402344,1523791754.0899758
-24.989127383756227,-24.989127383756227,-0.14244571915948936,32928.47693654393,-975.0108726162438,-975.0108726162438,0,-16.579015571250693,0,-33.42098442874931,-9772.398749419322,-50000,6,0.31314197680425504,-28.351288664398556,0.0,0.0,0,0,0.10231342080423435,0,-50000,0.31314197680425504,339.9250099864561,0,0,339.9250099864561,0.0002307891845703125,1523791754.1006296
-22.215140012596066,-22.215140012596066,-0.2108285560000207,34897.036618735525,-977.7848599874039,-977.7848599874039,0,-14.925009986456075,0,-35.074990013543925,-10752.417618802148,-50000,7,0.4667479427871429,-31.345025874800612,0.0,0.0,0,0,0.2077276988042447,0,-50000,0.4667479427871429,338.2003943436037,0,0,338.2003943436037,0.0033178329467773438,1523791754.114658
-20.872927224639284,-20.872927224639284,-0.2590202439828982,35881.535563043304,-979.1270727753607,-979.1270727753607,0,-13.200394343603705,0,-36.799605656396295,-11194.186930890384,-50000,8,0.6266648989427198,-32.78172490959507,0.0,0.0,0,0,0.33723782079569375,0,-50000,0.6266648989427198,336.43701229844993,0,0,336.43701229844993,0.0001957416534423828,1523791754.125879
-20.315167503415523,-20.315167503415523,-0.28942707814702606,36330.45148161664,-979.6848324965845,-979.6848324965845,0,-11.437012298449929,0,-38.56298770155007,-11378.888388761537,-50000,9,0.789220447353599,-33.46829677499039,0.0,0.0,0,0,0.4819513598692068,0,-50000,0.789220447353599,334.6547577918174,0,0,334.6547577918174,0.0021741390228271484,1523791754.138785
-20.13844862774988,-20.13844862774988,-0.3072690874843922,36521.14470435481,-979.8615513722501,-979.8615513722501,0,-9.654757791817417,0,-40.34524220818258,-11450.61368900221,-50000,10,0.9528006429107734,-33.822693584957854,0.0,0.0,0,0,0.6355859036114029,0,-50000,0.9528006429107734,332.8640055764351,0,0,332.8640055764351,0.00020837783813476562,1523791754.1500306
-20.13261787800502,-20.13261787800502,-0.3172147392993705,36597.152340775,-979.867382121995,-979.867382121995,0,-7.8640055764350905,0,-42.13599442356491,-11475.954370826934,-50000,11,1.116742848208301,-34.040008076743504,0.0,0.0,0,0,0.7941932732610881,0,-50000,1.116742848208301,331.06963429286736,0,0,331.06963429286736,0.002172708511352539,1523791754.1628394
-20.198903615043946,-20.198903615043946,-0.3225495749472129,36625.51273410105,-979.801096384956,-979.801096384956,0,-6.069634292867363,0,-43.93036570713264,-11483.453693368372,-50000,12,1.280792186684992,-34.20469551114069,0.0,0.0,0,0,0.9554680607346946,0,-50000,1.280792186684992,329.27377293281506,0,0,329.27377293281506,0.0001952648162841797,1523791754.1737344
-20.29421019021072,-20.29421019021072,-0.32532412595029747,36635.29768395547,-979.7057898097893,-979.7057898097893,0,-4.2737729328150635,0,-45.72622706718494,-11484.575044736439,-50000,13,1.4448575444669411,-34.35102525152432,0.0,0.0,0,0,1.1181301237098433,0,-50000,1.4448575444669411,327.47729274429946,0,0,327.47729274429946,0.0027501583099365234,1523791754.186927
-20.400897041866415,-20.400897041866415,-0.3267274207570978,36638.338934348794,-979.5991029581336,-979.5991029581336,0,-2.4772927442994614,0,-47.52270725570054,-11483.628896431586,-50000,14,1.6089093858445351,-34.49202968280154,0.0,0.0,0,0,1.2814938340883923,0,-50000,1.6089093858445351,325.68052774159105,0,0,325.68052774159105,0.0002739429473876953,1523791754.1984217
-20.512192699852108,-20.512192699852108,-0.3274155517561428,36639.156512749905,-979.4878073001479,-979.4878073001479,0,-0.6805277415910496,0,-49.31947225840895,-11482.113681776602,-50000,15,1.7729395812984867,-34.6323014106397,0.0,0.0,0,0,1.4452016099664637,0,-50000,1.7729395812984867,323.8835961108072,0,0,323.8835961108072,0.0026612281799316406,1523791754.2117789
-20.625690705607553,-20.625690705607553,-0.327737971332023,36639.35424399715,-979.3743092943924,-979.3743092943924,0,1.1164038891927817,0,-51.11640388919278,-11480.494127354888,-50000,16,1.9369466402606994,-34.77329364275157,0.0,0.0,0,111.64038891927817,1.6090705956324753,0,-50000,1.9369466402606994,323.202938563097,0,0,323.202938563097,0.00019550323486328125,1523791754.22277
-9.576590449336209,-9.576590449336209,-0.32787604462822406,43809.6356507185,-990.4234095506638,-990.4234095506638,0,1.7970614369029931,0,-51.79706143690299,-11504.029505203378,-50000,17,2.101289918906462,-34.915383982558794,0.0,0.0,0,291.3465326095775,1.7730086179465874,0,-50000,2.101289918906462,322.69245670389176,0,0,322.69245670389176,0.0020983219146728516,1523791754.2355459
-10.479338164103638,-10.479338164103638,-0.3282813009598746,43236.79324638909,-989.5206618358964,-989.5206618358964,0,2.3075432961082356,0,-52.307543296108236,-10567.002940396482,-50000,18,2.252247103769269,-31.468349935729933,0.0,0.0,0,522.100862220401,1.9371492684265248,0,-50000,2.252247103769269,322.66644354957197,0,0,322.66644354957197,0.00023365020751953125,1523791754.2470126
-11.245619692337527,-11.245619692337527,-0.31509783534274405,42742.83177672484,-988.7543803076625,-988.7543803076625,0,2.333556450428034,0,-52.333556450428034,-9995.359701644791,-50000,19,2.395037956649909,-28.94443336027578,0.0,0.0,0,755.4565072632045,2.094698186097897,0,-50000,2.395037956649909,322.66089485178,0,0,322.66089485178,0.002700328826904297,1523791754.2603772
-11.699289132345143,-11.699289132345143,-0.3003397705520121,42450.193798855624,-988.3007108676549,-988.3007108676549,0,2.3391051482200282,0,-52.33910514822003,-9654.312857484772,-50000,20,2.5329567117568343,-27.13384501793591,0.0,0.0,0,989.3670220852073,2.2448680713739027,0,-50000,2.5329567117568343,322.6574370756164,0,0,322.6574370756164,0.000209808349609375,1523791754.2712092
-12.10692879823057,-12.10692879823057,-0.2880886403829317,42187.2187662119,-987.8930712017694,-987.8930712017694,0,2.3425629243836283,0,-52.34256292438363,-9468.312319518664,-50000,21,2.668218316321387,-25.801488996000387,0.0,0.0,0,1223.6233145235701,2.3889123915653685,0,-50000,2.668218316321387,322.66293525380763,0,0,322.66293525380763,0.0021257400512695312,1523791754.2843208
-12.330045149313946,-12.330045149313946,-0.27930592475601834,42043.102880620776,-987.669954850686,-987.669954850686,0,2.337064746192368,0,-52.33706474619237,-9401.334251893368,-50000,22,2.802523091348435,-24.841663448701546,0.0,0.0,0,1457.329789142807,2.5285653539433777,0,-50000,2.802523091348435,322.66844509794805,0,0,322.66844509794805,0.00021767616271972656,1523791754.2958086
-12.548525151851777,-12.548525151851777,-0.27395773740505724,41901.973801958986,-987.4514748481482,-987.4514748481482,0,2.3315549020519484,0,-52.33155490205195,-9384.14984658988,-50000,23,2.9365823748711475,-24.037017370527252,0.0,0.0,0,1690.4852793480018,2.6655442226459063,0,-50000,2.9365823748711475,322.6772982889022,0,0,322.6772982889022,0.001645803451538086,1523791754.308753
-15.567155304225935,-12.675355671854618,-0.2710381522252412,40886.78286134366,-984.4328446957741,-987.3246443281454,0,2.3227017110978068,0,-52.32270171109781,-9128.508983457627,-50000,24,3.066989646063399,-22.43923913518119,0.0,0.0,0,1922.7554504577824,2.801063298758527,0,-50000,3.066989646063399,322.7315518658653,0,0,322.7315518658653,0.00020551681518554688,1523791754.3204272
