I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0,1523628237.6466842
0,0,0,-1000,-50000,-25,50000,-25,0,-50000,1,0.0,0,0,0,0,0.0,0,-50000,0.0,350.0,0,350.0,0.0010085105895996094,1523628247.6574957
0.0,0.0,50000.0,-1000.0,0,-25.0,0,-25.0,0.0,-50000,2,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,342.85714285714283,0,342.85714285714283,0.0024404525756835938,1523628247.670768
-71.42857142857167,0.0,25510.20408163257,-928.5714285714283,0,-17.857142857142833,0,-32.14285714285717,0.0,-50000,3,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,339.2128279883382,0,339.2128279883382,0.004884243011474609,1523628247.6866944
-90.01457725947546,0.0,19465.900687638576,-909.9854227405245,0,-14.212827988338177,0,-35.78717201166182,-4352.678571428586,-50000,4,0.012436224489795962,-12.500000000000043,0.0,0,0,0.0,0,-50000,0.012436224489795962,337.05379625745104,0,337.05379625745104,0.00013208389282226562,1523628247.6977003
-87.37503498602962,-0.012436224489795962,20549.912759831117,-912.6249650139704,0,-12.05379625745104,0,-37.94620374254896,-8582.331385231311,-50000,5,0.03695717130474257,-24.813111724281647,0.0,0,0,0.006218112244897981,0,-50000,0.03695717130474257,335.34414177536536,0,335.34414177536536,0.002178668975830078,1523628247.7111967
-81.0536032338041,-0.030739059059844587,22819.148985758988,-918.9463967661959,0,-10.344141775365358,0,-39.65585822463464,-11214.595942524042,-50000,6,0.06899887399766841,-32.63537972898932,0.0,0,0,0.021587641774820275,0,-50000,0.06899887399766841,333.68634848347466,0,333.68634848347466,0.00013136863708496094,1523628247.7224362
-77.3544214803951,-0.04741123222284813,24187.885557155303,-922.6455785196049,0,-8.68634848347466,0,-41.31365151652534,-12548.879329625013,-50000,7,0.10485281493945417,-36.723504292071766,0.0,0,0,0.045293257886244345,0,-50000,0.10485281493945417,332.0236333081132,0,332.0236333081132,0.0018463134765625,1523628247.735393
-76.12959155446845,-0.059559557053209825,24723.17640982274,-923.8704084455316,0,-7.023633308113176,0,-42.976366691886824,-13386.467228376467,-50000,8,0.14309986416338694,-39.36708446944405,0.0,0,0,0.07507303641284926,0,-50000,0.14309986416338694,330.4041034250494,0,330.4041034250494,0.0004508495330810547,1523628247.7461903
-75.32169979158425,-0.06802682775053767,25113.401311910875,-924.6783002084157,0,-5.4041034250494135,0,-44.59589657495059,-14305.84140163033,-50000,9,0.1839736967394736,-42.26916574453474,0.0,0,0,0.1090864502881181,0,-50000,0.1839736967394736,328.8601662950093,0,328.8601662950093,0.002663850784301758,1523628247.7594805
