I_32,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_lower_p3,dif_myu_lower_v3,dif_myu_upper_p3,dif_myu_upper_v3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu_lower_p3,myu_lower_v3,myu_upper_p3,myu_upper_v3,original_generated_power3,original_lambda3,original_voltage3,line32,voltage3,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0,1523627283.3807056
0,0,0,-1000,-50000,-25,50000,-25,0,-50000,1,0.0,0,0,0,0,0.0,0,-50000,0.0,350.0,0,350.0,0.0008883476257324219,1523627293.3920398
0.0,0.0,50000.0,-1000.0,0,-25.0,0,-25.0,0.0,-50000,2,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,342.85714285714283,0,342.85714285714283,0.0017104148864746094,1523627293.4051673
-71.42857142857167,0.0,25510.20408163257,-928.5714285714283,0,-17.857142857142833,0,-32.14285714285717,0.0,-50000,3,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,339.2128279883382,0,339.2128279883382,0.0001742839813232422,1523627293.415958
-90.01457725947546,0.0,19465.900687638576,-909.9854227405245,0,-14.212827988338177,0,-35.78717201166182,-4352.678571428586,-50000,4,0.012436224489795962,-12.500000000000043,0.0,0,0,0.0,0,-50000,0.012436224489795962,337.05379625745104,0,337.05379625745104,0.0012760162353515625,1523627293.4279327
-87.37503498602962,-0.012436224489795962,20549.912759831117,-912.6249650139704,0,-12.05379625745104,0,-37.94620374254896,-8582.331385231311,-50000,5,0.03695717130474257,-24.813111724281647,0.0,0,0,0.006218112244897981,0,-50000,0.03695717130474257,335.34414177536536,0,335.34414177536536,0.0007078647613525391,1523627293.4398425
-81.0536032338041,-0.030739059059844587,22819.148985758988,-918.9463967661959,0,-10.344141775365358,0,-39.65585822463464,-11214.595942524042,-50000,6,0.06899887399766841,-32.63537972898932,0.0,0,0,0.021587641774820275,0,-50000,0.06899887399766841,333.68634848347466,0,333.68634848347466,0.00012350082397460938,1523627293.450661
-77.3544214803951,-0.04741123222284813,24187.885557155303,-922.6455785196049,0,-8.68634848347466,0,-41.31365151652534,-12548.879329625013,-50000,7,0.10485281493945417,-36.723504292071766,0.0,0,0,0.045293257886244345,0,-50000,0.10485281493945417,332.0236333081132,0,332.0236333081132,0.0019860267639160156,1523627293.4641902
-76.12959155446845,-0.059559557053209825,24723.17640982274,-923.8704084455316,0,-7.023633308113176,0,-42.976366691886824,-13386.467228376467,-50000,8,0.14309986416338694,-39.36708446944405,0.0,0,0,0.07507303641284926,0,-50000,0.14309986416338694,330.4041034250494,0,330.4041034250494,0.00012373924255371094,1523627293.4748993
-75.32169979158425,-0.06802682775053767,25113.401311910875,-924.6783002084157,0,-5.4041034250494135,0,-44.59589657495059,-14305.84140163033,-50000,9,0.1839736967394736,-42.26916574453474,0.0,0,0,0.1090864502881181,0,-50000,0.1839736967394736,328.8601662950093,0,328.8601662950093,0.0015406608581542969,1523627293.4873195
-73.46349546250678,-0.07488724645135551,25840.782665587358,-926.5365045374932,0,-3.8601662950093214,0,-46.13983370499068,-15490.860235366434,-50000,10,0.22823329741194914,-45.99503223487912,0.0,0,0,0.14653007351379585,0,-50000,0.22823329741194914,327.3816059478349,0,327.3816059478349,0.00012111663818359375,1523627293.498074
-68.22628436929847,-0.0817032238981533,27663.9694553254,-931.7737156307015,0,-2.3816059478348848,0,-47.618394052165115,-16832.034198170022,-50000,11,0.27632482369243494,-50.27132947431136,0.0,0,0,0.18738168546287248,0,-50000,0.27632482369243494,325.8341866253841,0,325.8341866253841,0.0015475749969482422,1523627293.5106273
-66.3623760431392,-0.08894313822956246,28376.869179455865,-933.6376239568608,0,-0.8341866253841204,0,-49.16581337461588,-17063.253615743626,-50000,12,0.32507697688027387,-51.212310121938536,0.0,0,0,0.2318532545776537,0,-50000,0.32507697688027387,324.2179558305681,0,324.2179558305681,0.0001239776611328125,1523627293.5214431
-67.91400349898538,-0.09322372230262016,27981.06061328891,-932.0859965010146,0,0.7820441694319129,0,-50.78204416943191,-16577.0602900887,-50000,13,0.3724400062805273,-49.94694386579323,0.0,0,78.20441694319129,0.2784651157289638,0,-50000,0.3724400062805273,323.37085709668565,0,323.37085709668565,0.0019991397857666016,1523627293.534223
-64.21866526916233,-0.0939748905515635,29233.55517030582,-935.7813347308377,0,1.6291429033143459,0,-51.629142903314346,-15764.72360244173,-50000,14,0.4174820737160751,-47.419736292165396,0.0,0,241.11870727462588,0.32545256100474557,0,-50000,0.4174820737160751,323.0758812045908,0,323.0758812045908,0.00013566017150878906,1523627293.5447748
-58.81940061303908,-0.09202951271132953,30996.87031501655,-941.1805993869609,0,1.9241187954091856,0,-51.924118795409186,-14469.233641400524,-50000,15,0.45882274126293376,-43.10279898157447,0.0,0,433.53058681554444,0.37146731736041033,0,-50000,0.45882274126293376,322.6389090466263,0,322.6389090466263,0.0031752586364746094,1523627293.559215
-59.039661766173026,-0.08735542390252343,30951.507937280123,-940.960338233827,0,2.3610909533737185,0,-52.36109095337372,-12748.725954403253,-50000,16,0.49524767256122876,-37.31938451061163,0.0,0,669.6396821529163,0.4151450293116721,0,-50000,0.49524767256122876,322.39960257387474,0,322.39960257387474,0.00012302398681640625,1523627293.570186
-59.92575107683024,-0.08010264324955668,30679.961668888984,-940.0742489231698,0,2.600397426125255,0,-52.600397426125255,-11113.33658074413,-50000,17,0.5270000627919262,-31.62176637217697,0.0,0,929.6794247654418,0.4551963509364504,0,-50000,0.5270000627919262,322.2047678445507,0,322.2047678445507,0.0011172294616699219,1523627293.5821893
-62.28853271536934,-0.07180371185547585,29930.33777706672,-937.7114672846307,0,2.7952321554492983,0,-52.7952321554493,-9689.970260915827,-50000,18,0.5546856921088286,-26.473047081171874,0.0,0,1209.2026403103716,0.4910982068641883,0,-50000,0.5546856921088286,322.10851892626414,0,322.10851892626414,0.00013065338134765625,1523627293.5927489
-64.54587196604905,-0.06358748524464025,29209.22477821167,-935.454128033951,0,2.8914810737358607,0,-52.89148107373586,-8643.091828055904,-50000,19,0.5793802401889883,-22.407518395153684,0.0,0,1498.3507476839577,0.5228919494865084,0,-50000,0.5793802401889883,322.0619810071206,0,322.0619810071206,0.002187013626098633,1523627293.6057096
-66.49333428595753,-0.05648829070247985,28585.025036095823,-933.5066657140425,0,2.9380189928793925,0,-52.93801899287939,-7998.867422966649,-50000,20,0.6022341471117502,-19.541362116878858,0.0,0,1792.152646971897,0.5511360948377484,0,-50000,0.6022341471117502,322.05912034098156,0,322.05912034098156,0.00012612342834472656,1523627293.616437
