delta_generated_power3,delta_lambda3,delta_voltage3,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_34,dif_myu_lower_p3,dif_myu_upper_p3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu34,myu_lower_p3,myu_upper_p3,original_generated_power3,original_lambda3,P_32,P_34,line32,line34,voltage3,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1526286592.2212813
-200,0.0,0.0,0,0,-100,-1000,-200,200,0,-200,1,0.0,0,0.0,0.0,0.0,0.0,-200,0.0,0,0,0,0,350.0,0.0007452964782714844,1526286602.2392273
0,0.0,-0.014285714285733775,0.0,200.0,-100.0,-1000.0,0,0,0.0,-200,2,0.0,0.0,0.0,0.0,0.0,0.0,-200,0.0,0.0,0.0,0,0,349.98571428571427,1.958977460861206,1526286604.2175608
0,0.0,-0.0071428571428668874,0.0,99.99999999986358,-49.99999999993179,-949.9999999999318,0,0,0.0,-200,3,0.0,0.0,0.0,0.0,0.0,0.0,-200,0.0,-50.00000000006821,-50.00000000006821,0,0,349.9785714285714,0.005158185958862305,1526286604.2356737
0,0.0520833333333215,-0.0067956349205928746,0.0,95.13888888862425,-38.88888888878341,-956.2499999998408,0,0,-729.1666666665009,-200,4,0.0520833333333215,-729.1666666665009,0.0,0.0,0.0,0.0,-200,0.0520833333333215,-61.11111111121659,-43.75000000015916,0,0,349.9717757936508,0.010304689407348633,1526286604.2575326
0,0.06076388888886678,-0.0070188492063607555,-0.0520833333333215,98.26388888877773,-32.46527777776578,-965.798611111012,0,0,-850.6944444441349,-200,5,0.11284722222218828,-850.6944444441349,0.0,0.0,0,0.02604166666666075,-200,0.11284722222218828,-67.53472222223422,-34.20138888898805,0,0,349.96475694444445,0.004408359527587891,1526286604.2725449
0,0.060517939814821856,-0.007193149250440456,-0.08680555555552753,100.70408950589353,-27.353395061658148,-973.3506944442354,0,0,-847.2511574075057,-200,6,0.17336516203701013,-847.2511574075057,0.0,0.0,0,0.06944444444442452,-200,0.17336516203701013,-72.64660493834185,-26.649305555764613,0,0,349.957563795194,0.004073143005371094,1526286604.2880034
0,0.05921585648153174,-0.007285121803363381,-0.10392071759258562,101.99170524681449,-23.160204475266255,-978.8315007715482,0,0,-829.0219907414444,-200,7,0.23258101851854188,-829.0219907414444,0.0,0.0,0,0.12140480324071733,-200,0.23258101851854188,-76.83979552473374,-21.168499228451765,0,0,349.95027867339064,0.00292205810546875,1526286604.3019042
0,0.05817850999865301,-0.007320821927635279,-0.11117621527782455,102.49150698701897,-19.757373113725407,-982.7341338732936,0,0,-814.4991399811418,-200,8,0.2907595285171949,-814.4991399811418,0.0,0.0,0,0.1769929108796296,-200,0.2907595285171949,-80.24262688627459,-17.26586612670644,0,0,349.942957851463,0.0020780563354492188,1526286604.3186834
0,0.057557642639783746,-0.007324036948205048,-0.11376661763756529,102.53651727519468,-17.028590909978902,-985.5079263652158,0,0,-805.8069969569726,-200,9,0.34831717115697863,-805.8069969569726,0.0,0.0,0,0.23387621969841224,-200,0.34831717115697863,-82.9714090900211,-14.49207363478422,0,0,349.9356338145148,0.00038552284240722656,1526286604.3300357
0,0.057292054590218855,-0.007310565411330572,-0.11444095145856639,102.34791575895201,-14.860340473779843,-987.4875752851722,0,0,-802.0887642630641,-200,10,0.4056092257471975,-802.0887642630641,0.0,0.0,0,0.29109669542769545,-200,0.4056092257471975,-85.13965952622016,-12.51242471482783,0,0,349.92832324910347,0.004088640213012695,1526286604.3447192
0,0.05728615666455167,-0.007289914764896821,-0.11451253031950204,102.05880670828265,-13.149347176130277,-988.9094595321524,0,0,-802.0061933037232,-200,11,0.46289538241174916,-802.0061933037232,0.0,0.0,0,0.34835296058744647,-200,0.46289538241174916,-86.85065282386972,-11.090540467847632,0,0,349.9210333343386,0.0027408599853515625,1526286604.359461
0,0.057451754430577096,-0.0072674463647217635,-0.11454242182430269,101.7442491060308,-11.806313003779678,-989.9379361022511,0,0,-804.3245620280791,-200,12,0.5203471368423263,-804.3245620280791,0.0,0.0,0,0.40562417149959784,-200,0.5203471368423263,-88.19368699622032,-10.062063897748885,0,0,349.91376588797385,0.0002307891845703125,1526286604.3748648
0,0.0577186154027266,-0.00724596730532312,-0.11472296534272841,101.44354227464873,-10.756461175907361,-990.6870810987414,0,0,-808.0606156381718,-200,13,0.5780657522450529,-808.0606156381718,0.0,0.0,0,0.46298565417096205,-200,0.5780657522450529,-89.24353882409264,-9.312918901258627,0,0,349.90651992066853,0.00027060508728027344,1526286604.392648
0,0.058035218119698806,-0.007226776983429772,-0.11508009807409081,101.17487776814187,-9.938481852293535,-991.2363959158483,0,0,-812.4930536757838,-200,14,0.6361009703647517,-812.4930536757838,0.0,0.0,0,0.5205257032080075,-200,0.6361009703647517,-90.06151814770647,-8.763604084151666,0,0,349.8992931436851,0.00023174285888671875,1526286604.410541
0,0.05836611003966763,-0.007210321251420737,-0.11557526715674415,100.94449751961747,-9.30284013995788,-991.6416573796596,0,0,-817.1255405553475,-200,15,0.6944670804044193,-817.1255405553475,0.0,0.0,0,0.5783133367863795,-200,0.6944670804044193,-90.69715986004212,-8.358342620340409,0,0,349.8920828224337,0.004518985748291016,1526286604.4254715
0,0.0586884128342392,-0.007196588842305118,-0.11615374361803976,100.75224379199881,-8.80994137921789,-991.9423024127809,0,0,-821.6377796793495,-200,16,0.7531554932386585,-821.6377796793495,0.0,0.0,0,0.6363902085953994,-200,0.7531554932386585,-91.19005862078211,-8.057697587219081,0,0,349.8848862335914,0.0037260055541992188,1526286604.440127
0,0.058988517287888675,-0.007185345180744207,-0.11676528464325908,100.594832530345,-8.428391210861719,-992.1664413194833,0,0,-825.8392420304417,-200,17,0.8121440105265472,-825.8392420304417,0.0,0.0,0,0.694772850917029,-200,0.8121440105265472,-91.57160878913828,-7.833558680516717,0,0,349.87770088841063,0.0002789497375488281,1526286604.4510953
0,0.059259333806201187,-0.007176266000044507,-0.11737115960951816,100.46772400074815,-8.133452018859089,-992.3342719818891,0,0,-829.630673286817,-200,18,0.8714033443327484,-829.630673286817,0.0,0.0,0,0.7534584307217881,-200,0.8714033443327484,-91.86654798114091,-7.66572801811094,0,0,349.8705246224106,0.003178119659423828,1526286604.4651732
0,0.05949816023247323,-0.007169010398797582,-0.11794491361096027,100.36614558309225,-7.90572659591362,-992.4604189871786,0,0,-832.9742432546254,-200,19,0.9309015045652216,-832.9742432546254,0.0,0.0,0,0.8124308875272682,-200,0.9309015045652216,-92.09427340408638,-7.5395810128213725,0,0,349.8633556120118,0.004774570465087891,1526286604.4806414
0,0.0597051042376846,-0.007163258025798314,-0.11847061703795336,100.2856123611025,-7.730064198119635,-992.5555481629829,0,0,-835.8714593275836,-200,20,0.9906066088029062,-835.8714593275836,0.0,0.0,0,0.8716661960462448,-200,0.9906066088029062,-92.26993580188037,-7.444451837017141,0,0,349.856192353986,0.002584695816040039,1526286604.4953842
0,0.05988195828238241,-0.0071587255559961704,-0.11894041275666134,100.22215778367354,-7.594667654507248,-992.6274901291663,0,0,-838.3474159533525,-200,21,1.0504885670852886,-838.3474159533525,0.0,0.0,0,0.9311364024245755,-200,1.0504885670852886,-92.40533234549275,-7.37250987083371,0,0,349.84903362843,0.0002257823944091797,1526286604.5124547
0,0.060031423718110766,-0.0071551716372937335,-0.11935216466071308,100.17240292243628,-7.490374071926453,-992.6820288505098,0,0,-840.4399320535504,-200,22,1.1105199908033994,-840.4399320535504,0.0,0.0,0,0.990812484754932,-200,1.1105199908033994,-92.50962592807355,-7.317971149490177,0,0,349.8418784567927,0.000213623046875,1526286604.5256605
0,0.06015659402436335,-0.007152395778007303,-0.11970750604846736,100.1335408918294,-7.410081062749896,-992.7234598290795,0,0,-842.1923163410875,-200,23,1.1706765848277627,-842.1923163410875,0.0,0.0,0,1.0506662377791658,-200,1.1706765848277627,-92.5899189372501,-7.276540170920498,0,0,349.8347260610147,0.00021505355834960938,1526286604.5368416
0,0.06026062461346071,-0.007150234361290586,-0.12001034704859692,100.10328105839221,-7.348292492173414,-992.7549885662188,0,0,-843.6487445884486,-200,24,1.2309372094412234,-843.6487445884486,0.0,0.0,0,1.1106714113034641,-200,1.2309372094412234,-92.65170750782659,-7.245011433781201,0,0,349.8275758266534,0.004038810729980469,1526286604.5521297
0,0.060346533387664714,-0.00714855559112948,-0.12026579813775928,100.07977827573882,-7.300760961732067,-992.7790173140068,0,0,-844.8514674273047,-200,25,1.2912837428288881,-844.8514674273047,0.0,0.0,0,1.1708043103723438,-200,1.2912837428288881,-92.69923903826793,-7.220982685993249,0,0,349.8204272710623,0.0037834644317626953,1526286604.5668056
0,0.060417090510150206,-0.007147254338633502,-0.12047943245654436,100.06156074119303,-7.26420772452343,-992.7973530166696,0,0,-845.8392671421025,-200,26,1.3517008333390383,-845.8392671421025,0.0,0.0,0,1.231044026600616,-200,1.3517008333390383,-92.73579227547657,-7.202646983330396,0,0,349.81328001672364,0.0059659481048583984,1526286604.583454
0,0.06047476728175294,-0.007146247375942494,-0.12065680673842238,100.04746326351892,-7.23610407857791,-992.811359184941,0,0,-846.6467419445398,-200,27,1.4121756006207913,-846.6467419445398,0.0,0.0,0,1.2913724299698273,-200,1.4121756006207913,-92.76389592142209,-7.188640815058989,0,0,349.8061337693477,0.0080413818359375,1526286604.6024432
0,0.06052172277535384,-0.007145469199258514,-0.12080317065096402,100.0365687895453,-7.21450124402736,-992.8220675455179,0,0,-847.3041188549541,-200,28,1.4726973233961451,-847.3041188549541,0.0,0.0,0,1.3517740152953093,-200,1.4726973233961451,-92.78549875597264,-7.177932454482061,0,0,349.79898830014844,0.0035207271575927734,1526286604.617322
0,0.06055981343076078,-0.007144868492844125,-0.12092330810083585,100.0281588995449,-7.197898291229876,-992.830260608315,0,0,-847.8373880306499,-200,29,1.533257136826906,-847.8373880306499,0.0,0.0,0,1.4122356693457272,-200,1.533257136826906,-92.80210170877012,-7.1697393916849705,0,0,349.7918434316556,0.00022101402282714844,1526286604.6287816
0,0.06059061557254619,-0.007144405204314808,-0.1210214674811787,100.02167286053236,-7.185139808234453,-992.8365330522979,0,0,-848.2686180156452,-200,30,1.593847752399452,-848.2686180156452,0.0,0.0,0,1.4727464030863167,-200,1.593847752399452,-92.81486019176555,-7.163466947702091,0,0,349.7846990264513,0.0027008056640625,1526286604.6425877
0,0.06061545422160819,-0.007144048164946071,-0.12110134931313543,100.01667430937005,-7.175336733217819,-992.8413375761522,0,0,-848.6163591025143,-200,31,1.6544632066210603,-848.6163591025143,0.0,0.0,0,1.5332970777428843,-200,1.6544632066210603,-92.82466326678218,-7.1586624238477725,0,0,349.77755497828633,0.004391670227050781,1526286604.658068
0,0.06063543396423232,-0.0071437731772903135,-0.12116612887817602,100.01282448218944,-7.1678051930689435,-992.8450192891205,0,0,-848.8960754992513,-200,32,1.7150986405852926,-848.8960754992513,0.0,0.0,0,1.5938801421819724,-200,1.7150986405852926,-92.83219480693106,-7.154980710879499,0,0,349.77041120510904,0.004094123840332031,1526286604.674238
0,0.06065146927977905,-0.007143561492512163,-0.12121849840332022,100.00986089489743,-7.162019296862354,-992.8478415980351,0,0,-849.1205699169059,-200,33,1.7757501098650716,-849.1205699169059,0.0,0.0,0,1.6544893913836325,-200,1.7757501098650716,-92.83798070313765,-7.152158401964925,0,0,349.76326764361653,0.004627227783203125,1526286604.6896915
0,0.06066431285098006,-0.007143398606331175,-0.12126071848143916,100.00758048896046,-7.157574736999095,-992.8500057519614,0,0,-849.3003799137205,-200,34,1.8364144227160517,-849.3003799137205,0.0,0.0,0,1.715119750624352,-200,1.8364144227160517,-92.8424252630009,-7.149994248038638,0,0,349.7561242450102,0.0052242279052734375,1526286604.7060835
0,0.060674581104732894,-0.00714327331303366,-0.12129467209169964,100.00582638279525,-7.1541607409585595,-992.8516656418367,0,0,-849.4441354662613,-200,35,1.8970890038207846,-849.4441354662613,0.0,0.0,0,1.7757670866702018,-200,1.8970890038207846,-92.84583925904144,-7.148334358163311,0,0,349.74898097169716,0.00030040740966796875,1526286604.7187014
0,0.06068277670566835,-0.007143176964063969,-0.12132191715058283,100.00447749682166,-7.151538470088781,-992.8529390267329,0,0,-849.5588738793558,-200,36,1.957771780526453,-849.5588738793558,0.0,0.0,0,1.8364280452454933,-200,1.957771780526453,-92.84846152991122,-7.147060973267116,0,0,349.7418377947331,0.0019559860229492188,1526286604.7313247
0,0.060689308015212884,-0.00714310289038167,-0.12134373528095965,100.00344046546843,-7.149524394583295,-992.8539160708851,0,0,-849.6503122129816,-200,37,2.018461088541666,-849.6503122129816,0.0,0.0,0,1.8970999128859731,-200,2.018461088541666,-92.8504756054167,-7.146083929114866,0,0,349.7346946918427,0.004384279251098633,1526286604.7463193
0,0.060694505690567446,-0.007143045953341698,-0.12136117565569271,100.00264334690883,-7.147977501466585,-992.8546658454422,0,0,-849.7230796679451,-200,38,2.0791555942322333,-849.7230796679451,0.0,0.0,0,1.9577805007138194,-200,2.0791555942322333,-92.85202249853342,-7.145334154557759,0,0,349.7275516458894,0.004943370819091797,1526286604.7626374
0,0.060698636689414,-0.007143002195562076,-0.12137509351841391,100.00203073779517,-7.146789454628788,-992.8552412831664,0,0,-849.7809136517935,-200,39,2.1398542309216473,-849.7809136517935,0.0,0.0,0,2.0184680474730263,-200,2.1398542309216473,-92.85321054537121,-7.144758716833621,0,0,349.7204086436938,0.0028438568115234375,1526286604.776367
0,0.06070191598229702,-0.007142968570917674,-0.12138618344862095,100.00155999257458,-7.145877028682435,-992.8556829638921,0,0,-849.8268237521606,-200,40,2.2005561469039443,-849.8268237521606,0.0,0.0,0,2.079161139197337,-200,2.2005561469039443,-92.85412297131757,-7.14431703610785,0,0,349.7132656751229,0.0032057762145996094,1526286604.7917714
0,0.06070451627372897,-0.007142942735754332,-0.1213950077066075,100.0011983002878,-7.14517629379543,-992.8560220064924,0,0,-849.8632278322075,-200,41,2.2612606631776733,-849.8632278322075,0.0,0.0,0,2.1398586430506406,-200,2.2612606631776733,-92.85482370620457,-7.143977993507633,0,0,349.70612273238714,0.003154277801513672,1526286604.80639
