delta_generated_power6,delta_lambda6,delta_voltage6,dif_generated_power6,dif_lambda6,dif_myu_61,dif_myu_62,dif_myu_65,dif_myu_lower_p6,dif_myu_upper_p6,dif_voltage6,generated_power6,iteration6,lambda6,modified_dif_voltage6,myu61,myu62,myu65,myu_lower_p6,myu_upper_p6,original_generated_power6,original_lambda6,P_61,P_62,P_65,line61,line62,line65,voltage6,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1526286594.1895382
-200,0.0,0.0,0,0,-1000,-200,-1000,-200,200,0,-200,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-200,0.0,0,0,0,0,0,0,350.0,0.0017349720001220703,1526286604.202606
0,0.0,-0.009523809523784621,0.0,200.0,-1000.0,-200.0,-1000.0,0,0,0.0,-200,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200,0.0,0.0,0.0,0.0,0,0,0,349.9904761904762,0.01639103889465332,1526286604.2322042
0,0.0,-0.008333333333325754,0.0,175.00000000016485,-966.6666666667538,-166.66666666675383,-958.3333333333428,0,0,0.0,-200,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200,0.0,-33.33333333324617,-33.33333333324617,41.66666666665719,0,0,0,349.9821428571429,0.0007538795471191406,1526286604.2484045
0,0.01944444444442676,-0.007407407407413302,0.0,155.55555555560545,-945.8333333333258,-151.38888888899942,-941.6666666667197,0,0,-408.33333333296196,-200,4,0.01944444444442676,-408.33333333296196,0.0,0.0,0.0,0.0,0.0,-200,0.01944444444442676,-54.166666666674246,-48.61111111100058,58.33333333328028,0,0,0,349.9747354497355,0.0005910396575927734,1526286604.2600813
0,0.036921296296292316,-0.007051917989429057,-0.01944444444442676,148.09027777773736,-934.8379629629164,-142.82407407411029,-929.5717592592894,0,0,-775.3472222221386,-200,5,0.05636574074071908,-775.3472222221386,0.0,0.0,0.0,0,0.00972222222221338,-200,0.05636574074071908,-65.16203703708356,-57.175925925889715,70.42824074071063,0,0,0,349.96768353174605,0.002827167510986328,1526286604.274009
0,0.047559799382719384,-0.006933880805377157,-0.0466435185185057,145.6114969132443,-928.4432870368846,-137.5964506172636,-920.4282407409039,0,0,-998.7557870371069,-200,6,0.10392554012343846,-998.7557870371069,0.0,0.0,0.0,0,0.03304398148146623,-200,0.10392554012343846,-71.55671296311539,-62.4035493827364,79.5717592590961,0,0,0,349.96074965094067,0.0030105113983154297,1526286604.289811
0,0.05379935056588803,-0.006908505107276142,-0.07088155864197224,145.07860725312298,-924.3521733538387,-134.31069958859325,-913.584265689309,0,0,-1129.7863618836489,-200,7,0.1577248906893265,-1129.7863618836489,0.0,0.0,0.0,0,0.06848476080245235,-200,0.1577248906893265,-75.64782664616132,-65.68930041140675,86.41573431069105,0,0,0,349.9538411458334,0.00030159950256347656,1526286604.3006806
0,0.05751002014747808,-0.00692017231489217,-0.08924012988687414,145.32361861305958,-921.5739936987006,-132.22602666335774,-908.4764017489988,0,0,-1207.71042309704,-200,8,0.21523491083680457,-1207.71042309704,0.0,0.0,0.0,0,0.11310482574588943,-200,0.21523491083680457,-78.42600630129937,-67.77397333664226,91.5235982510012,0,0,0,349.9469209735185,0.004961729049682617,1526286604.3172274
0,0.059723478089611926,-0.00694591959029367,-0.10213008509091515,145.86431139649108,-919.6229004131169,-130.89951810421212,-904.6581071208379,0,0,-1254.19303988185,-200,9,0.2749583889264165,-1254.19303988185,0.0,0.0,0.0,0,0.164169868291347,-200,0.2749583889264165,-80.3770995868831,-69.10048189578788,95.34189287916206,0,0,0,349.9399750539282,0.005012989044189453,1526286604.3335083
0,0.061015696816980214,-0.0069754871833538346,-0.1107885206350695,146.48523085075453,-918.2256111666334,-130.05467842070288,-901.7950587365817,0,0,-1281.3296331565848,-200,10,0.3359740857433967,-1281.3296331565848,0.0,0.0,0.0,0,0.21956412860888175,-200,0.3359740857433967,-81.77438883336663,-69.94532157929712,98.20494126341828,0,0,0,349.93299956674485,0.00029850006103515625,1526286604.344321
0,0.06172860499307281,-0.007004165369778548,-0.11640995713451496,147.0874727656735,-917.2122700468037,-129.5164589209719,-899.6412562021021,0,0,-1296.3007048545287,-200,11,0.3977026907364695,-1296.3007048545287,0.0,0.0,0.0,0,0.27776910717613923,-200,0.3977026907364695,-82.78772995319628,-70.4835410790281,100.35874379789789,0,0,0,349.9259954013751,0.0034835338592529297,1526286604.3601577
0,0.062076120586915695,-0.007029912119776327,-0.11993358356033029,147.62815451483107,-916.4706709593702,-129.17354763153526,-898.0160640760744,0,0,-1303.5985323252298,-200,12,0.4597788113233852,-1303.5985323252298,0.0,0.0,0.0,0,0.3377358989563044,-200,0.4597788113233852,-83.52932904062982,-70.82645236846474,101.98393592392563,0,0,0,349.9189654892553,0.002642393112182617,1526286604.374358
0,0.062196460217475436,-0.0070520316121474025,-0.12204291236708081,148.09266385462365,-915.9240299683518,-128.95506566097197,-896.7864317747001,0,0,-1306.1256645669837,-200,13,0.5219752715408607,-1306.1256645669837,0.0,0.0,0.0,0,0.3987573551398448,-200,0.5219752715408607,-84.07597003164824,-71.04493433902803,103.21356822529992,0,0,0,349.91191345764315,0.006929159164428711,1526286604.393325
0,0.06218016221509137,-0.007070506042225588,-0.12321791640101587,148.4806268864645,-915.5186707568532,-128.81586126347315,-895.8539051338619,0,0,-1305.78340651692,-200,14,0.584155433755952,-1305.78340651692,0.0,0.0,0.0,0,0.4603663133403527,-200,0.584155433755952,-84.48132924314677,-71.18413873652685,104.14609486613813,0,0,0,349.9048429516009,0.0058498382568359375,1526286604.4110994
0,0.06208649458282567,-0.007085638928970184,-0.12378912041559931,148.79841750889682,-915.2165295464556,-128.72716784535214,-895.1452798829109,0,0,-1303.8163862393385,-200,15,0.6462419283387777,-1303.8163862393385,0.0,0.0,0.0,0,0.5222608735481524,-200,0.6462419283387777,-84.7834704535444,-71.27283215464786,104.85472011708907,0,0,0,349.89775731267196,0.0044252872467041016,1526286604.4270077
0,0.06195379052006622,-0.007097861798797567,-0.12398105479062527,149.05509777487396,-914.9903204832697,-128.6706572131891,-894.6058799215848,0,0,-1301.0296009213898,-200,16,0.7081957188588439,-1301.0296009213898,0.0,0.0,0.0,0,0.5842514009434651,-200,0.7081957188588439,-85.00967951673033,-71.32934278681091,105.3941200784152,0,0,0,349.89065945087316,0.002531290054321289,1526286604.4408593
0,0.06180628266806798,-0.007107631345320442,-0.12394431791537885,149.26025825125748,-914.8203082490909,-128.63465169710935,-894.1947016949428,0,0,-1297.9319360294267,-200,17,0.7700020015269119,-1297.9319360294267,0.0,0.0,0.0,0,0.6462235599011545,-200,0.7700020015269119,-85.17969175090911,-71.36534830289065,105.80529830505725,0,0,0,349.88355181952784,0.00036025047302246094,1526286604.4521644
0,0.06165874206202271,-0.007115377769764564,-0.12377844162575735,149.422933164783,-914.6921073403007,-128.6117109290899,-893.8808851046076,0,0,-1294.8335833024776,-200,18,0.8316607435889346,-1294.8335833024776,0.0,0.0,0.0,0,0.7081127807140333,-200,0.8316607435889346,-85.30789265969929,-71.3882890709101,106.11911489539239,0,0,0,349.8764364417581,0.0051877498626708984,1526286604.4691331
