I_21,I_23,delta_generated_power2,delta_lambda2,delta_voltage2,dif_generated_power2,dif_lambda2,dif_myu_21,dif_myu_23,dif_myu_lower_p2,dif_myu_lower_v2,dif_myu_upper_p2,dif_myu_upper_v2,dif_voltage2,generated_power2,iteration2,lambda2,modified_dif_voltage2,myu21,myu23,myu_lower_p2,myu_lower_v2,myu_upper_p2,myu_upper_v2,original_generated_power2,original_lambda2,original_voltage2,line21,line23,voltage2,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,350,0,1527072137.9021387
0,0,-50000,0.0,0.0,0,0,-1000,-1000,-50000,-25,50000,-25,0,-50000,1,0.0,0,0,0,0,0,0.0,0,-50000,0.0,350.0,0,0,350.0,0.003726482391357422,1527072147.9177892
0.0,0.0,0,0.0,-3.571428571428555,0.0,50000.0,-1000.0,-1000.0,0,-25.0,0,-25.0,0.0,-50000,2,0.0,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,346.42857142857144,0,0,346.42857142857144,0.003342866897583008,1527072147.932457
-35.71428571428555,-35.71428571428555,0,0.0,-1.8039358600583455,0.0,25255.102040816437,-964.2857142857144,-964.2857142857144,0,-21.428571428571445,0,-28.571428571428555,0.0,-50000,3,0.0,0.0,0.0,0.0,0,0,0.0,0,-50000,0.0,344.6246355685131,0,0,344.6246355685131,0.000244140625,1527072147.9467149
-35.89650145772623,-35.89650145772623,0,0.006218112244897931,-1.7979506401760545,0.0,25258.362533892996,-964.1034985422738,-964.1034985422738,0,-19.6246355685131,0,-30.3753644314869,-87.05357142857103,-50000,4,0.006218112244897931,-0.24999999999999886,0.0,0.0,0,0,0.0,0,-50000,0.006218112244897931,342.82668492833704,0,0,342.82668492833704,0.0004105567932128906,1527072147.9584024
-35.956507707020364,-35.956507707020364,0,0.006249671535669301,-1.804200280064606,-0.006218112244897931,25346.299322404015,-964.0434922929796,-964.0434922929796,0,-17.826684928337045,0,-32.173315071662955,-87.49540149937019,-50000,5,0.012467783780567232,-0.24998698458975618,0.0,0.0,0,0,0.0031090561224489657,0,-50000,0.012467783780567232,341.02248464827244,0,0,341.02248464827244,0.00022149085998535156,1527072147.9692292
-36.14088976889093,-36.14088976889093,0,0.006229763857837231,-1.8045050895154873,-0.009358727658118265,25350.287947226974,-963.8591102311091,-963.8591102311091,0,-16.02248464827244,0,-33.97751535172756,-87.21669400972122,-50000,6,0.018697547638404463,-0.24783877669790594,0.0,0.0,0,0,0.007788419951508098,0,-50000,0.018697547638404463,339.21797955875695,0,0,339.21797955875695,0.002286195755004883,1527072147.9825976
-36.32947120630945,-36.32947120630945,0,0.006230166232126522,-1.8046827164761226,-0.010909127686896364,25352.780357915344,-963.6705287936906,-963.6705287936906,0,-14.217979558756952,0,-35.78202044124305,-87.22232724977127,-50000,7,0.024927713870530985,-0.24647808303742186,0.0,0.0,0,0,0.013242983794956281,0,-50000,0.024927713870530985,337.41329684228083,0,0,337.41329684228083,0.00022411346435546875,1527072147.9935699
-36.51965300906909,-36.51965300906909,0,0.006231278288525828,-1.8048806472363026,-0.011684730075574704,25355.566957347753,-963.4803469909309,-963.4803469909309,0,-12.413296842280829,0,-37.58670315771917,-87.23789603936157,-50000,8,0.031158992159056813,-0.2451040884979399,0.0,0.0,0,0,0.019085348832743633,0,-50000,0.031158992159056813,335.6084161950445,0,0,335.6084161950445,0.0033991336822509766,1527072148.0086458
-36.7118144375047,-36.7118144375047,0,0.006232376834290794,-1.8050827804489131,-0.01207364332631318,25358.412201965355,-963.2881855624953,-963.2881855624953,0,-10.608416195044526,0,-39.391583804955474,-87.25327568007108,-50000,9,0.03739136899334761,-0.2436859266005137,0.0,0.0,0,0,0.025122170495900223,0,-50000,0.03739136899334761,333.8033334145956,0,0,333.8033334145956,0.00022792816162109375,1527072148.019957
-36.90600856140463,-36.90600856140463,0,0.006233505077876636,-1.8052881119471635,-0.012269198497447384,25361.30263835106,-963.0939914385954,-963.0939914385954,0,-8.803333414595613,0,-41.19666658540439,-87.2690710902729,-50000,10,0.04362487407122424,-0.24222422405947464,0.0,0.0,0,0,0.031256769744623915,0,-50000,0.04362487407122424,331.99804530264845,0,0,331.99804530264845,0.002206087112426758,1527072148.033369
-37.10226748140883,-37.10226748140883,0,0.006234668536260417,-1.8054967200175156,-0.012368104326600328,25364.239439752502,-962.8977325185912,-962.8977325185912,0,-6.99804530264845,0,-43.00195469735155,-87.28535950764586,-50000,11,0.04985954260748466,-0.24071802588435065,0.0,0.0,0,0,0.03744082190792408,0,-50000,0.04985954260748466,330.19254858263093,0,0,330.19254858263093,0.0019230842590332031,1527072148.0462997
-37.30062418967975,-37.30062418967975,0,0.006235868419010138,-1.805708679450504,-0.012418720699560577,25367.22367017342,-962.6993758103202,-962.6993758103202,0,-5.192548582630934,0,-44.807451417369066,-87.30215786614188,-50000,12,0.0560954110264948,-0.2391661630289389,0.0,0.0,0,0,0.04365018225770437,0,-50000,0.0560954110264948,328.38683990318043,0,0,328.38683990318043,0.0002155303955078125,1527072148.0578291
-37.50111248032965,-37.50111248032965,0,0.006237105878526911,-1.8059240626544124,-0.01244522876879043,25370.25635946165,-962.4988875196703,-962.4988875196703,0,-3.38683990318043,0,-46.61316009681957,-87.31948229937673,-50000,13,0.06233251690502171,-0.23756742738724546,0.0,0.0,0,0,0.04987279664209958,0,-50000,0.06233251690502171,326.580915840526,0,0,326.580915840526,0.0034797191619873047,1527072148.0726905
-37.703766882179366,-37.703766882179366,0,0.006238382119466403,-1.5809158405260177,-0.012459720262922129,25373.338561960336,-962.2962331178206,-962.2962331178206,0,-1.5809158405260177,0,-48.41908415947398,-87.33734967252965,-50000,14,0.06857089902448811,-0.23592057512377584,0.0,0.0,0,0,0.05610265677356065,0,-50000,0.06857089902448811,324.7747728967912,0,0,325,0.0027620792388916016,1527072148.0859034
-35.65635164131834,-35.65635164131834,0,0.006195572605519131,0,-0.012468242250927464,26823.371433143082,-962.0913773265937,-962.0913773265937,0,0.2252271032087947,0,-50.225227103208795,-86.73801647726775,-50000,15,0.07476647163000724,-0.23422432503298807,0.0,0.0,0,22.52271032087947,0.06233677789902438,0,-50000,0.07476647163000724,323.09024047023814,0,0,325,0.0019092559814453125,1527072148.0985465
-18.857439623962478,-18.857439623962478,0,0.007137101946435881,0,-0.012429693730982863,37742.66424442439,-962.044965078419,-962.044965078419,0,1.9097595297618568,0,-51.90975952976186,-99.9194272501024,-50000,16,0.08190357357644312,-0.21951737374891267,0.0,0.0,0,213.49866329706515,0.06855162476451582,0,-50000,0.08190357357644312,322.311232513059,0,0,325,0.0041196346282958984,1527072148.113315
-9.995820315461401,-9.995820315461401,0,0.01755395612987845,0,-0.013351948811927306,43502.71679495009,-963.1165048151286,-963.1165048151286,0,2.6887674869410034,0,-52.688767486941,-245.7553858182982,-50000,17,0.09945752970632157,-0.08890179773227835,0.0,0.0,0,482.3754119911655,0.07522759917047947,0,-50000,0.09945752970632157,321.91021704220486,0,0,325,0.002244710922241211,1527072148.1260285
-5.317525974771229,-5.317525974771229,0,0.028951246178524237,0,-0.024229930535842104,46543.608116398704,-963.7846444472774,-963.7846444472774,0,3.089782957795137,0,-53.08978295779514,-405.31744649933944,-50000,18,0.1284087758848458,0.24321264162554534,0.0,0.0,0,791.3537077706792,0.08734256443840052,0,-50000,0.1284087758848458,321.7044078092929,0,0,325,0.0026891231536865234,1527072148.1397424
-2.8997689707324525,-2.8997689707324525,0,0.040893436979514,0,-0.04106621144644529,48115.15016902391,-964.1443091221964,-964.1443091221964,0,3.2955921907071115,0,-53.29559219070711,-572.5081177131962,-50000,19,0.1693022128643598,0.6773495307011039,0.0,0.0,0,1120.9129268413903,0.10787567016162317,0,-50000,0.1693022128643598,321.60409699633493,0,0,325,0.0024836063385009766,1527072148.1530416
-1.7087050012895588,-1.7087050012895588,0,0.053125331712779944,0,-0.06142654270273665,48889.34174916179,-964.3322649620598,-964.3322649620598,0,3.395903003665069,0,-53.39590300366507,-743.754643978919,-50000,20,0.22242754457713976,1.1634358035576988,0.0,0.0,0,1460.5032272078972,0.1385889415129915,0,-50000,0.22242754457713976,321.56102949248697,0,0,325,0.0024144649505615234,1527072148.1662705
-1.1845013543791083,-1.1845013543791083,0,0.06548145311409193,0,-0.08383860306414825,49230.07411965358,-964.4257935704906,-964.4257935704906,0,3.4389705075130337,0,-53.438970507513034,-916.7403435972872,-50000,21,0.2879089976912317,1.6757484735020771,0.0,0.0,0,1804.4002779592006,0.18050824304506563,0,-50000,0.2879089976912317,321.5490475874246,0,0,325,0.0029020309448242188,1527072148.1800368
-1.0228977023831476,-1.0228977023831476,0,0.07786872530154698,0,-0.10740075464616605,49335.11649345095,-964.4675781718627,-964.4675781718627,0,3.4509524125754183,0,-53.45095241257542,-1090.1621542216578,-50000,22,0.36577772299277866,2.200587790544597,0.0,0.0,0,2149.4955192167427,0.23420862036814866,0,-50000,0.36577772299277866,321.55393183291216,0,0,325,0.002574920654296875,1527072148.1939857
-1.0581623101444393,-1.0581623101444393,0,0.09023526093874379,0,-0.13156910262463,49312.19449840611,-964.4811560189771,-964.4811560189771,0,3.4460681670878444,0,-53.446068167087844,-1263.2936531424134,-50000,23,0.45601298393152245,2.730649624074874,0.0,0.0,0,2494.102335925527,0.2999931716804637,0,-50000,0.45601298393152245,321.56793565390973,0,0,325,0.003029346466064453,1527072148.2084026
-1.1999204315992529,-1.1999204315992529,0,0.10255217315133891,0,-0.15601981225105876,49220.05171946048,-964.479436107498,-964.479436107498,0,3.4320643460902716,0,-53.43206434609027,-1435.730424118745,-50000,24,0.5585651570828614,3.262059101096332,0.0,0.0,0,2837.3087705345542,0.37800307780599307,0,-50000,0.5585651570828614,321.58683419318993,0,0,325,0.00022554397583007812,1527072148.2195778
-1.39886835345294,-1.39886835345294,0,0.11480355511505036,0,-0.1805620792768683,49090.73557025559,-964.4694735784464,-964.4694735784464,0,3.4131658068100705,0,-53.41316580681007,-1607.2497716107046,-50000,25,0.6733687121979117,3.792781154637874,0.0,0.0,0,3178.6253512155613,0.4682841174444272,0,-50000,0.6733687121979117,321.6083224429539,0,0,325,0.002490520477294922,1527072148.2327857
