delta_generated_power3,delta_lambda3,delta_voltage3,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_34,dif_myu_lower_p3,dif_myu_upper_p3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu34,myu_lower_p3,myu_upper_p3,original_generated_power3,original_lambda3,P_32,P_34,line32,line34,voltage3,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1527587305.88102
-40,0.0,0.0,0,0,-25,-1000,-40,40,0,-40,1,0.0,0,0.0,0.0,0.0,0.0,-40,0.0,0,0,0,0,350.0,0.0006725788116455078,1527587315.8841746
0,0.0,-0.0028571428571240176,0.0,40.0,-25.0,-1000.0,0,0,0.0,-40,2,0.0,0.0,0.0,0.0,0.0,0.0,-40,0.0,0.0,0.0,0,0,349.9971428571429,0.015719175338745117,1527587315.9145365
0,0.0,-0.0014285714285620088,0.0,20.000000000131877,-15.000000000065938,-990.0000000000659,0,0,0.0,-40,3,0.0,0.0,0.0,0.0,0.0,0.0,-40,0.0,-9.999999999934062,-9.999999999934062,0,0,349.9957142857143,0.0007402896881103516,1527587315.934902
0,0.49999999999670314,-0.0012500000000272848,0.0,17.500000000048885,-12.499999999982947,-990.0000000000659,0,0,-6999.999999953843,-40,4,0.49999999999670314,-6999.999999953843,0.0,0.0,0.0,0.0,-40,0.49999999999670314,-12.500000000017053,-9.999999999934062,0,0,349.9944642857143,0.0008172988891601562,1527587315.9471524
0,0.5000000000016769,-0.0011607142857315011,-0.49999999999670314,16.249999999907914,-10.624999999970441,-990.6249999999375,0,0,-7000.000000023476,-40,5,0.99999999999838,-7000.000000023476,0.0,0.0,0,0.24999999999835157,-40,0.99999999999838,-14.375000000029559,-9.375000000062528,0,0,349.99330357142856,0.00032520294189453125,1527587315.9602032
0,0.5156250000009521,-0.00110491071427532,-0.7500000000000284,15.46874999972033,-9.218749999911324,-991.249999999809,0,0,-7218.7500000133305,-40,6,1.515624999999332,-7218.7500000133305,0.0,0.0,0,0.6249999999983658,-40,1.515624999999332,-15.781250000088676,-8.750000000190994,0,0,349.9921986607143,0.0002815723419189453,1527587315.9730716
0,0.5312500000067555,-0.0010658482142957837,-0.8906250000009663,14.921875000006821,-8.164062500065938,-991.7578124999409,0,0,-7437.5000000945765,-40,7,2.0468750000060876,-7437.5000000945765,0.0,0.0,0,1.070312499998849,-40,2.0468750000060876,-16.83593749993406,-8.242187500059117,0,0,349.9911328125,0.0002148151397705078,1527587315.986326
0,0.5468749999968603,-0.0010372488839038851,-0.9765625000072387,14.521484374918145,-7.373046874982947,-992.1484374999352,0,0,-7656.249999956044,-40,8,2.593750000002948,-7656.249999956044,0.0,0.0,0,1.5585937500024682,-40,2.593750000002948,-17.626953125017053,-7.8515625000648015,0,0,349.9900955636161,0.00021719932556152344,1527587315.9999828
0,0.5625000000023719,-0.0010159737723256512,-1.0351562500004796,14.22363281282287,-6.779785156419393,-992.4438476564035,0,0,-7875.0000000332075,-40,9,3.1562500000053197,-7875.0000000332075,0.0,0.0,0,2.076171875002708,-40,3.1562500000053197,-18.220214843580607,-7.556152343596523,0,0,349.98907958984375,0.00021839141845703125,1527587316.0132363
0,0.5775756835854557,-0.001000061035199451,-1.0800781250026117,14.000854492459212,-6.334838867297776,-992.6660156251614,0,0,-8086.059570196383,-40,10,3.7338256835907755,-8086.059570196383,0.0,0.0,0,2.6162109375040137,-40,3.7338256835907755,-18.665161132702224,-7.333984374838565,0,0,349.98807952880856,0.0002205371856689453,1527587316.0266922
0,0.5531475219690272,-0.0009881373813982464,-1.1176147460867618,13.833923339839203,-6.001129150456563,-992.8327941893826,0,0,-7744.065307566376,-40,11,4.286973205559803,-7744.065307566376,0.0,0.0,0,3.1750183105473946,-40,4.286973205559803,-18.998870849543437,-7.167205810617361,0,0,349.98709139142716,0.00024271011352539062,1527587316.0393467
0,0.4760240836783849,-0.0009496868678411374,-1.111954895012408,13.295616150039677,-5.33769989024222,-992.9579162597975,0,0,-6664.337171497391,-40,12,4.7629972892381875,-6664.337171497391,0.0,0.0,0,3.7309957580535986,-40,4.7629972892381875,-19.66230010975778,-7.042083740202543,0,0,349.9861417045593,0.00021719932556152344,1527587316.0538924
0,0.41280752232520523,-0.0009075316314692827,-1.032001531184589,12.705442840833712,-4.550388748378964,-993.1550540924547,0,0,-5779.305312552868,-40,13,5.175804811563393,-5779.305312552868,0.0,0.0,0,4.246996523645893,-40,5.175804811563393,-20.449611251621036,-6.844945907545252,0,0,349.98523417292785,0.0002231597900390625,1527587316.0676224
0,0.3504532878393327,-0.0008594280912461727,-0.9288082879174997,12.031993277710171,-3.630826941724763,-993.4011663359854,0,0,-4906.3460297506535,-40,14,5.5262580994027255,-4906.3460297506535,0.0,0.0,0,4.711400667604643,-40,5.5262580994027255,-21.369173058275237,-6.598833664014592,0,0,349.9843747448366,0.0002834796905517578,1527587316.081263
0,0.2944344506265333,-0.0008091874772162555,-0.8148574317980826,11.328624680893427,-2.636039832162851,-993.6925848487306,0,0,-4122.082308771467,-40,15,5.820692550029259,-4122.082308771467,0.0,0.0,0,5.118829383503684,-40,5.820692550029259,-22.36396016783715,-6.307415151269424,0,0,349.9835655573594,0.00022029876708984375,1527587316.0959923
0,0.24348675874900394,-0.0007579198110079233,-0.701863166525575,10.61087735437468,-1.5967411001668097,-994.0141362542079,0,0,-3408.814622486054,-40,16,6.064179308778263,-3408.814622486054,0.0,0.0,0,5.469760966766471,-40,6.064179308778263,-23.40325889983319,-5.98586374579213,0,0,349.9828076375484,0.00021648406982421875,1527587316.1086845
0,0.19769860915394144,-0.0007067955182264996,-0.5944183420117914,9.895137255036843,-0.540788466361164,-994.3543487886757,0,0,-2767.7805281551773,-40,17,6.261877917932204,-2767.7805281551773,0.0,0.0,0,5.7669701377723666,-40,6.261877917932204,-24.459211533638836,-5.645651211324321,0,0,349.98210084203015,0.0012955665588378906,1527587316.1208692
0,0.15654239565597194,-0.0006564537151234617,-0.4949077801598376,9.190352011594314,0.5130380690502534,-994.7033900806446,0,0,-2191.59353918361,-40,18,6.418420313588176,-2439.3825773024873,0.0,0.0,0,6.014424027852286,-40,6.418420313588176,-25.513038069050253,-5.296609919355433,1,0,349.981444388315,0.0023956298828125,1527587316.1344192
0,0.12604266924481244,-0.0005540370738685851,-0.4039962857358903,7.756519034423945,2.297588002966222,-995.0541070373902,0,0,-1764.597369427374,-40,19,6.5444629828329886,-2525.606375629741,0.0,0.0,0,6.2164221707202305,-40,6.5444629828329886,-27.297588002966222,-4.9458929626098325,1,0,349.98089035124116,0.00022721290588378906,1527587316.1507292
0,0.15420944078413878,-0.0006177710001225023,-0.32804081211275804,8.648794001580882,1.939129758574154,-995.587923760155,0,0,-2158.9321709779465,-40,20,6.698672423617127,-2552.7163823714654,0.0,0.0,0,6.380442576776609,-40,6.698672423617127,-26.939129758574154,-4.412076239844964,1,0,349.98027258024104,0.0002281665802001953,1527587316.1617339
