delta_generated_power4,delta_lambda4,delta_voltage4,dif_generated_power4,dif_lambda4,dif_myu_43,dif_myu_45,dif_myu_lower_p4,dif_myu_upper_p4,dif_voltage4,generated_power4,iteration4,lambda4,modified_dif_voltage4,myu43,myu45,myu_lower_p4,myu_upper_p4,original_generated_power4,original_lambda4,P_43,P_45,line43,line45,voltage4,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1527595796.5239856
-100,0.0,0.0,0,0,-1000,-1000,-100,100,0,-100,1,0.0,0,0.0,0.0,0.0,0.0,-100,0.0,0,0,0,0,350.0,0.0006301403045654297,1527595806.5467167
0,0.0,-0.0071428571428668874,0.0,100.0,-1000.0,-1000.0,0,0,0.0,-100,2,0.0,0.0,0.0,0.0,0.0,0.0,-100,0.0,0.0,0.0,0,0,349.99285714285713,0.9742159843444824,1527595807.5412974
0,0.0,-0.005357142857121744,0.0,74.9999999999659,-974.9999999999659,-1000.0,0,0,0.0,-100,3,0.0,0.0,0.0,0.0,0.0,0.0,-100,0.0,-25.000000000034106,0.0,0,0,349.9875,0.0029544830322265625,1527595807.5546978
0,0.06250000000008527,-0.004761904761949154,0.0,66.66666666695278,-962.5000000001478,-995.833333333195,0,0,-875.0000000011937,-100,4,0.06250000000008527,-875.0000000011937,0.0,0.0,0.0,0.0,-100,0.06250000000008527,-37.49999999985221,4.166666666804986,0,0,349.98273809523806,0.002861499786376953,1527595807.5685427
0,0.09548611111034333,-0.004365079365072688,-0.06250000000008527,61.11111111088121,-954.3402777776464,-993.2291666667652,0,0,-1336.8055555448066,-100,5,0.1579861111104286,-1336.8055555448066,0.0,0.0,0,0.03125000000004263,-100,0.1579861111104286,-45.659722222353594,6.770833333234805,0,0,349.978373015873,0.0023865699768066406,1527595807.583008
0,0.12196180555568742,-0.004063326719574434,-0.12673611111038596,56.88657407390565,-948.7847222221717,-991.898148148266,0,0,-1707.4652777796236,-100,6,0.279947916666116,-1707.4652777796236,0.0,0.0,0,0.09461805555523561,-100,0.279947916666116,-51.215277777828305,8.101851851733954,0,0,349.9743096891534,0.0023276805877685547,1527595807.5964124
0,0.14454330632732298,-0.003831156305125205,-0.1853298611108804,53.63618827161645,-944.9628665123839,-991.3266782407675,0,0,-2023.6062885825213,-100,7,0.424491222993439,-2023.6062885825213,0.0,0.0,0,0.18728298611067581,-100,0.424491222993439,-55.037133487616074,8.673321759232522,0,0,349.9704785328483,0.0036203861236572266,1527595807.6109543
0,0.1635802469135592,-0.0036526078409906404,-0.23720823688276318,51.13650977353359,-942.3128858023802,-991.1763760288466,0,0,-2290.123456789829,-100,8,0.5880714699069982,-2290.123456789829,0.0,0.0,0,0.3058871045520574,-100,0.5880714699069982,-57.68711419761985,8.823623971153438,0,0,349.9668259250073,0.003560304641723633,1527595807.6261816
0,0.1795617458101707,-0.0035154049242009933,-0.2821843653549408,49.21566893847853,-940.4602636851394,-991.2445947466608,0,0,-2513.86444134239,-100,9,0.7676332157171689,-2513.86444134239,0.0,0.0,0,0.44697928722952784,-100,0.7676332157171689,-59.53973631486065,8.755405253339177,0,0,349.9633105200831,0.00021910667419433594,1527595807.6375473
0,0.19299659676755987,-0.0034100141256772076,-0.32065392848764107,47.74019775934448,-939.1540443618851,-991.4138466025406,0,0,-2701.9523547458375,-100,10,0.9606298124847288,-2701.9523547458375,0.0,0.0,0,0.6073062514733484,-100,0.9606298124847288,-60.8459556381149,8.586153397459384,0,0,349.9599005059574,0.004319190979003906,1527595807.652347
0,0.20431084815312883,-0.0033290727400299147,-0.3533235610113804,46.60701836008343,-938.225243429855,-991.6182250697716,0,0,-2860.351874143803,-100,11,1.1649406606378576,-2860.351874143803,0.0,0.0,0,0.7839680319790385,-100,1.1649406606378576,-61.77475657014497,8.381774930228403,0,0,349.9565714332174,0.003101825714111328,1527595807.6683505
0,0.21384261203492616,-0.0032669129954570053,-0.3809726286588191,45.73678193626165,-937.5593429910509,-991.8225610547893,0,0,-2993.796568488965,-100,12,1.3787832726727838,-2993.796568488965,0.0,0.0,0,0.9744543463084481,-100,1.3787832726727838,-62.440657008949074,8.177438945210724,0,0,349.95330452022193,0.0034360885620117188,1527595807.6824138
0,0.2218627551446577,-0.003219178113738508,-0.4043289263643357,45.06849359260059,-937.0781567008635,-992.0096631082629,0,0,-3106.078572025208,-100,13,1.6006460278174415,-3106.078572025208,0.0,0.0,0,1.1766188094906158,-100,1.6006460278174415,-62.921843299136526,7.990336891737115,0,0,349.9500853421082,0.00691676139831543,1527595807.69999
0,0.22859441874408737,-0.0031825210544411675,-0.42402721832682566,44.55529476184097,-936.7278699652104,-992.1725752033694,0,0,-3200.321862417224,-100,14,1.8292404465615288,-3200.321862417224,0.0,0.0,0,1.3886324186540286,-100,1.8292404465615288,-63.2721300347896,7.827424796630567,0,0,349.94690282105375,0.003780841827392578,1527595807.7145123
0,0.2342263226329433,-0.003154371117716437,-0.4406080279075002,44.16119564789369,-936.4711279061453,-992.3099322582516,0,0,-3279.168516861204,-100,15,2.063466769194472,-3279.168516861204,0.0,0.0,0,1.6089364326077789,-100,2.063466769194472,-63.528872093854716,7.690067741748408,0,0,349.94374844993604,0.004312276840209961,1527595807.7295656
0,0.2389209098402767,-0.0031327540680194943,-0.4545303365866933,43.858556951937544,-936.2817757214543,-992.4232187695168,0,0,-3344.892737763872,-100,16,2.302387679034749,-3344.892737763872,0.0,0.0,0,1.8362016009011255,-100,2.302387679034749,-63.71822427854568,7.5767812304832205,0,0,349.940615695868,0.004175424575805664,1527595807.7450204
0,0.2428192219661267,-0.003116153800135635,-0.46618607813362334,43.626153201961415,-936.1413413786295,-992.5151881766681,0,0,-3399.469107525776,-100,17,2.5452069010008755,-3399.469107525776,0.0,0.0,0,2.069294639967937,-100,2.5452069010008755,-63.85865862137052,7.484811823331938,0,0,349.9374995420679,0.006127595901489258,1527595807.762793
0,0.24604395394696388,-0.0031034060472165947,-0.4759122610329385,43.447684661293806,-936.036667489617,-992.5889828283232,0,0,-3444.6153552574942,-100,18,2.7912508549478394,-3444.6153552574942,0.0,0.0,0,2.3072507704844063,-100,2.7912508549478394,-63.963332510383,7.411017171676804,0,0,349.93439613602067,0.0017344951629638672,1527595807.7751594
0,0.24870158455962565,-0.0030936167362369815,-0.4840000844634331,43.31063430738027,-935.9583050223819,-992.6476707150016,0,0,-3481.8221838347563,-100,19,3.039952439507465,-3481.8221838347563,0.0,0.0,0,2.5492508127161226,-100,3.039952439507465,-64.04169497761814,7.3523292849984045,0,0,349.93130251928443,0.0002951622009277344,1527595807.7896936
0,0.25088407320999373,-0.003086099285496857,-0.49070162679134244,43.205389996620625,-935.8994150773015,-992.6940250806808,0,0,-3512.377024939913,-100,20,3.290836512717459,-3512.377024939913,0.0,0.0,0,2.7946016261117936,-100,3.290836512717459,-64.10058492269854,7.305974919319169,0,0,349.92821641999893,0.00027632713317871094,1527595807.805508
