delta_generated_power3,delta_lambda3,delta_voltage3,dif_generated_power3,dif_lambda3,dif_myu_32,dif_myu_34,dif_myu_lower_p3,dif_myu_upper_p3,dif_voltage3,generated_power3,iteration3,lambda3,modified_dif_voltage3,myu32,myu34,myu_lower_p3,myu_upper_p3,original_generated_power3,original_lambda3,P_32,P_34,line32,line34,voltage3,time step,current time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,1535268739.5028892
-40.0,0.0,0.0,0.0,0,-250000,-1000000,-40000,40000,0,-40000,1,0.0,0,0.0,0.0,0.0,0.0,-40000,0.0,0,0,0,0,350.0,0.0007481575012207031,1535268740.0058913
0.0,0.0,-0.004081631486880846,0.0,40000.0,-250000.0,-1000000.0,0,0,0.0,-40000,2,0.0,0.0,0.0,0.0,0.0,0.0,-40000,0.0,0.0,0.0,0,0,348.57142857142856,0.017367839813232422,1535268740.034513
0.0,125.00000000000142,-0.003137806476858798,0.0,30624.99999999994,-245625.0,-995000.0,0,0,-175.000000000002,-40000,3,0.012500000000000143,-175.000000000002,0.0,0.0,0.0,0.0,-40000,0.012500000000000143,-4375.0,-5000.000000000056,0,0,347.47767857142856,0.012512445449829102,1535268740.0586061
0.0,3.8752480158729847,-0.0027833309263620596,-0.012500000000000143,27080.078125000196,-242763.67187500006,-994316.4062500001,0,0,-683.5937500000022,-40000,4,0.0613281250000003,-683.5937500000022,0.0,0.0,0,0.0062500000000000715,-40000,0.0613281250000003,-7236.328124999944,-5683.593749999858,0,0,346.5105329241071,0.012868881225585938,1535268740.083494
0.0,0.981977635193563,-0.0024499654484792716,-0.05507812500000023,23770.294189453238,-240571.74682617188,-993198.5473632814,0,0,-844.4946289062484,-40000,5,0.12164916992187519,-844.4946289062484,0.0,0.0,0,0.03378906250000019,-40000,0.12164916992187519,-9428.253173828125,-6801.452636718636,0,0,345.66159384591236,0.012873411178588867,1535268740.1079063
0.0,0.5641615399292415,-0.0022325771733073484,-0.087860107421875,21608.059406280576,-238937.6139640808,-992670.4454421997,0,0,-961.606788635248,-40000,6,0.19033536911010718,-961.606788635248,0.0,0.0,0,0.07771911621093769,-40000,0.19033536911010718,-11062.38603591919,-7329.554557800237,0,0,344.8898774385452,0.012337684631347656,1535268740.1318414
0.0,0.3911038894579704,-0.0020864997261868024,-0.11261625289916949,20149.15961772226,-237672.08110541123,-992477.078512311,0,0,-1042.72018969058,-40000,7,0.26481538265943433,-1042.72018969058,0.0,0.0,0,0.13402724266052243,-40000,0.26481538265943433,-12327.918894588776,-7522.921487688962,0,0,344.17026459505513,0.013641595840454102,1535268740.156489
0.0,0.2967313559286751,-0.001985083532920488,-0.1307881399989119,19129.793851752907,-236660.9686816811,-992468.8251700718,0,0,-1100.5218098405692,-40000,8,0.3434240833623321,-1100.5218098405692,0.0,0.0,0,0.19942131265997837,-40000,0.3434240833623321,-13339.031318318917,-7531.174829928176,0,0,343.48705767177825,0.013057231903076172,1535268740.1801493
0.0,0.23788826894305404,-0.001912286087421911,-0.14400277070235373,18391.679959068,-235833.479255116,-992558.200703952,0,0,-1144.0848934384044,-40000,9,0.4251444328936467,-1144.0848934384044,0.0,0.0,0,0.27142269801115526,-40000,0.4251444328936467,-14166.520744883997,-7441.799296048003,0,0,342.8302119589544,0.015766620635986328,1535268740.206925
0.0,0.19801830756306393,-0.0018583354682398798,-0.1537217348824914,17838.624392430433,-235144.19386062905,-992694.4305318014,0,0,-1178.8865606310073,-40000,10,0.5093506157958615,-1178.8865606310073,0.0,0.0,0,0.34828356545240097,-40000,0.5093506157958615,-14855.806139370941,-7305.569468198627,0,0,342.19311823065334,0.012763738632202148,1535268740.2302709
0.0,0.16937411202221297,-0.0018171888984629583,-0.16106705034346053,17411.232084346095,-234562.78022228536,-992848.4518620607,0,0,-1208.028439374311,-40000,11,0.5956383614654551,-1208.028439374311,0.0,0.0,0,0.4288170906241312,-40000,0.5956383614654551,-15437.219777714632,-7151.548137939272,0,0,341.5712885133553,0.01280355453491211,1535268740.2542138
0.0,0.14786248151952538,-0.001785038773308544,-0.16682127084132392,17072.108825776268,-234068.07293713817,-993004.0358886381,0,0,-1233.222934477215,-40000,12,0.6837257139281133,-1233.222934477215,0.0,0.0,0,0.5122277260447932,-40000,0.6837257139281133,-15931.92706286183,-6995.9641113619,0,0,340.9615703410061,0.012437820434570312,1535268740.2781389
0.0,0.1311336643690252,-0.0017594305772521796,-0.17149798788332016,16797.154877130368,-233644.6381630684,-993152.516714062,0,0,-1255.4160032002155,-40000,13,0.7733982855852716,-1255.4160032002155,0.0,0.0,0,0.5979767199864532,-40000,0.7733982855852716,-16355.361836931621,-6847.483285938011,0,0,340.36167195253716,0.012989282608032227,1535268740.3025994
0.0,0.1177532484344061,-0.0017387391287407132,-0.17542156559881839,16570.40926299993,-233280.7549971845,-993289.6542658154,0,0,-1275.1471010055357,-40000,14,0.8644802213713813,-1275.1471010055357,0.0,0.0,0,0.6856875027858624,-40000,0.8644802213713813,-16719.245002815485,-6710.345734184585,0,0,339.76987162171577,0.013335466384887695,1535268740.3274314
0.0,0.10680224703982691,-0.0017218554106978355,-0.17879271858551882,16380.973392825981,-232967.2085618706,-993413.7648309554,0,0,-1292.7475454411633,-40000,15,0.9568193317600358,-1292.7475454411633,0.0,0.0,0,0.7750838620786218,-40000,0.9568193317600358,-17032.791438129407,-6586.235169044613,0,0,339.18483685768626,0.01254725456237793,1535268740.3515806
0.0,0.09766801700945853,-0.0017079977159814561,-0.18173546968141396,16221.15872855133,-232696.55136091227,-993524.6073676391,0,0,-1308.4457899942645,-40000,16,1.0502797453310546,-1308.4457899942645,0.0,0.0,0,0.8659515969193288,-40000,1.0502797453310546,-17303.44863908772,-6475.39263236095,0,0,338.605509760238,0.012728691101074219,1535268740.3758624
0.0,0.08992808974514452,-0.0016965965758184516,-0.18432814841172585,16085.359306020222,-232462.63741109258,-993622.7218949277,0,0,-1322.4210160645835,-40000,17,1.1447383893356677,-1322.4210160645835,0.0,0.0,0,0.9581156711251917,-40000,1.1447383893356677,-17537.36258890743,-6377.27810507235,0,0,338.0310326421659,0.014159202575683594,1535268740.4010625
0.0,0.08328242868732127,-0.0016872237588698863,-0.18662271821047605,15969.356430484226,-232260.31744422775,-993709.0389862565,0,0,-1334.8289012569776,-40000,18,1.2400833108540232,-1334.8289012569776,0.0,0.0,0,1.0514270302304296,-40000,1.2400833108540232,-17739.682555772248,-6290.961013743527,0,0,337.4606984839343,0.012920379638671875,1535268740.4250052
0.0,0.07751232744447692,-0.0016795477911790088,-0.18865628062359363,15869.883083689048,-232085.2310093545,-993784.6520743346,0,0,-1345.8129283492945,-40000,19,1.3362128057361158,-1345.8129283492945,0.0,0.0,0,1.1457551705422264,-40000,1.3362128057361158,-17914.768990645513,-6215.347925665441,0,0,336.8939169452311,0.012827634811401367,1535268740.4493053
0.0,0.07245462183369705,-0.0016733055771637056,-0.19045763519388936,15784.345849090838,-231933.65833243582,-993850.6875166551,0,0,-1355.5085458759186,-40000,20,1.4330348447272527,-1355.5085458759186,0.0,0.0,0,1.240983988139171,-40000,1.4330348447272527,-18066.34166756419,-6149.312483344971,0,0,336.3301903077636,0.012925386428833008,1535268740.473308
0.0,0.06798503284437325,-0.0016682838983773237,-0.19205085658808163,15710.643419996897,-231802.41020585797,-993908.2332141389,0,0,-1364.0440728487738,-40000,21,1.5304665642164508,-1364.0440728487738,0.0,0.0,0,1.337009416433212,-40000,1.5304665642164508,-18197.589794142033,-6091.7667858610685,0,0,335.7690958999066,0.013244390487670898,1535268740.497786
0.0,0.0640071263189316,-0.0016643070480538,-0.19345714778323875,15647.045099156541,-231688.7430091769,-993958.3020899796,0,0,-1371.5403438146968,-40000,22,1.6284337316317863,-1371.5403438146968,0.0,0.0,0,1.4337379903248313,-40000,1.6284337316317863,-18311.256990823098,-6041.697910020361,0,0,335.210272860651,0.012787580490112305,1535268740.52116
0.0,0.06044482278963188,-0.0016612283340302115,-0.194695741306955,15592.10713919441,-231590.2910497555,-994001.8160894389,0,0,-1378.110059415896,-40000,23,1.7268701644472075,-1378.110059415896,0.0,0.0,0,1.5310858609783087,-40000,1.7268701644472075,-18409.708950244494,-5998.183910561096,0,0,334.65341189139406,0.013292074203491211,1535268740.5455854
0.0,0.05723720613260095,-0.0016589240638757734,-0.19578430346889886,15544.613390240727,-231505.01136746097,-994039.6020227798,0,0,-1383.8572620224331,-40000,24,1.8257171117345241,-1383.8572620224331,0.0,0.0,0,1.628978012712758,-40000,1.8257171117345241,-18494.988632539018,-5960.397977220254,0,0,334.0982471274569,0.013254165649414062,1535268740.5694473
0.0,0.05433485368715285,-0.0016572891559852871,-0.19673909902176612,15503.531896353936,-231431.1378846042,-994072.3940117498,0,0,-1388.8770787583344,-40000,25,1.9249226173601195,-1388.8770787583344,0.0,0.0,0,1.727347562223641,-40000,1.9249226173601195,-18568.8621153958,-5927.605988250263,0,0,333.54454955972994,0.013447761535644531,1535268740.5944848
0.0,0.05169719380090916,-0.0016562338412763342,-0.19757505513647855,15467.982212969986,-231367.14281944087,-994100.8393935291,0,0,-1393.2557424911902,-40000,26,2.024440884680919,-1393.2557424911902,0.0,0.0,0,1.8261350897918802,-40000,2.024440884680919,-18632.857180559142,-5899.160606470872,0,0,332.99212162355246,0.013359308242797852,1535268740.6192763
0.0,0.04929057026781241,-0.0016556811159466212,-0.19830579488903877,15437.210126778922,-231311.70391409798,-994125.506212681,0,0,-1397.0708463099363,-40000,27,2.124231659417343,-1397.0708463099363,0.0,0.0,0,1.9252879872363997,-40000,2.124231659417343,-18688.29608590204,-5874.493787319039,0,0,332.44079269045324,0.012816905975341797,1535268740.642726
0.0,0.04708680171360751,-0.0016555647262872669,-0.19894367218094322,15410.567634385356,-231263.67642426002,-994146.8912101253,0,0,-1400.3917706929224,-40000,28,2.224259643038266,-1400.3917706929224,0.0,0.0,0,2.024759823326871,-40000,2.224259643038266,-18736.32357573999,-5853.108789874654,0,0,331.89041527493947,0.014266252517700195,1535268740.66789
0.0,0.04506209328899849,-0.001655827541514067,-0.19949981971139508,15387.496766866661,-231222.06907499628,-994165.4276918704,0,0,-1403.2802244002323,-40000,29,2.32449394478114,-1403.2802244002323,0.0,0.0,0,2.1245097331825686,-40000,2.32449394478114,-18777.930925003715,-5834.572308129623,0,0,331.34086181897993,0.013128519058227539,1535268740.6919491
